code,title,units,prereqs,offered,corrupt
BIOPHY H196,Honors Research in Biophysics,4 Units, Upper division standing; minimum GPA 3.2; consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Supervised independent honors research on topics specific to biophysics, followed by brief written report and presentation at year-end student research colloquium.",0
BIOPHY 292,Research,3 - 12 Units, Consent of instructor,"Terms offered: Summer 2018 10 Week Session, Spring 2018, Fall 2017<br/>
Individual research under the supervision of a faculty member.",0
BIOPHY 293A,Research Seminar: Faculty Evening Research Presentations (FERPS) and Student Evening Research Presentations (SERPS),2 Units, 292,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Seminar on presentation and evaluation of results in area of student's individual research interests.",0
BIOPHY 293B,Research Seminar: Faculty Evening Research Presentations (FERPS) and Student Evening Research Presentations (SERPS),2 Units," 293A, and 292","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Seminar on presentation and evaluation of results in area of student's individual research interests.",0
