code,title,units,prereqs,offered,corrupt
ASIANST 10,Introduction to Asia,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course is designed to interest students in Asian cultures early in their undergraduate studies. Topics such as trade, social and political formations, religions, food, and expressive culture that have been important in history as well as in contemporary times in East, South, and Southeast Asia will serve as unifying themes. Comparative thinking across regions of Asia and the perspectives of multiple disciplines will be brought to bear on the",0
ASIANST 150,Special Topics,4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Advanced research in current issues or regions of Asian studies. The course will focus on specific areas or topics with appropriate comparative material included. Topics change each semester.",0
ASIANST H195A,Senior Honors,3 Units, Open to seniors in the group major in Asian Studies whose GPA is 3.5 or higher in all university work and 3.6 or higher in the major,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Supervised readings or field research on a significant problem in Asian Studies, collection and analysis of research materials, and the preparation of an honors dissertation in close consultation with two members of the faculty.",0
ASIANST H195B,Senior Honors,3 Units, Open to seniors in the group major in Asian Studies whose GPA is 3.5 or higher in all university work and 3.6 or higher in the major,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Supervised readings or field research on a significant problem in Asian Studies, collection and analysis of research materials, and the preparation of an honors dissertation in close consultation with two members of the faculty.",0
ASIANST 198,Directed Group Study,1 - 4 Units, Upper division standing and consent of instructor,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Directed group study of special topics approved by the chair of the Group in Asian Studies.",0
ASIANST 199,Independent Study,1 - 4 Units, Written proposal must be approved by faculty adviser,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Directed individual study on topics approved by the chair of the Group in Asian Studies.",0
ASIANST 201,Asian Studies Proseminar,1 Unit, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course is required of all first-year graduate students and supervised by a regular faculty member. The seminar will familiarize students with faculty, their Asian interests, research methods, and the courses they teach. It consists of presentations by faculty on their past, present, and future research.",0
ASIANST 298,Directed Group Study,2 - 6 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Group study of selected topics that vary from term to term.",0
ASIANST 299,Independent Study,1 - 7 Units, Consent of instructor,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Directed reading in subject matter not covered in scheduled seminar offerings.",0
