code,title,units,prereqs,offered,corrupt
XMBA 200C,Leadership Communication,2 Units,,"Offered through: Business Administration<br/>
Terms offered: Summer 2016 10 Week Session<br/>
Leadership Communication is a workshop in the fundamentals of public speaking in today's business environment. Through prepared and impromptu speeches aimed at moving others to action, peer coaching, and lectures, students will sharpen their authentic and persuasive communication skills, develop critical listening skills, improve abilities to give, receive, and apply feedback, and gain confidence as public",0
XMBA 200S,Data and Decisions,2 Units,,"Offered through: Business Administration<br/>
Terms offered: Summer 2016 10 Week Session, Summer 2006 10 Week Session, Summer 2005 10 Week Session<br/>
The objective of this core course is to make students critical consumers of statistical analysis using available software packages. Key concepts include interpretation of regression analysis, model formation and testing, and diagnostic checking.",0
XMBA 201A,Managerial Economics,2 Units,,"Offered through: Business Administration<br/>
Terms offered: Summer 2016 10 Week Session, Summer 2005 10 Week Session<br/>
This course uses the tools and concepts of microeconomics to analyze decision problems within a business firm. Particular emphasis is placed on the firm's choice of policies in determining prices, inputs usage, and outputs. The effects of the state of the competitive environment on business policies are also examined.",0
XMBA 202A,Financial Accounting,2 Units,,"Offered through: Business Administration<br/>
Terms offered: Summer 2016 10 Week Session, Summer 2008 10 Week Session, Summer 2007 10 Week Session<br/>
This course examines accounting measurements for general-purpose financial reports. An objective of the course is to provide not only a working knowledge but also a clear understanding of the contents of published financial statements.",0
XMBA 293,Individual Supervised Study for Graduate Students,1 - 6 Units, Consent of supervising faculty,"Offered through: Business Administration<br/>
Terms offered: Fall 2017, Summer 2014 10 Week Session, Fall 2011<br/>
Individually supervised study of subjects not available to the student in the regular schedule, approved by faculty adviser as appropriate for the student's program.",0
