code,title,units,prereqs,offered,corrupt
GMS 200,"Global Metropolitan Studies: Introduction to Theories, Histories, and Methods",3 Units," Ph.D. student in Global Metropolitan Studies Designated Emphasis, or consent of instructor","Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
The investigation of modern cities presents great challenges for social and urban theory. This seminar addresses these challenges through a multidisciplinary perspective that structures the discussion in terms of a history of metropolitan transformations, global urbanization, and the production and regulation of cities as spaces of contestation and creativity.",0
GMS 201,Research Seminar in Comparative Urban Studies,3 Units, Ph.D. candidate in Global Metropolitan Studies Designated Emphasis or consent of instructor,"Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
This core seminar for the Designated Emphasis in Global Metropolitan Studies offers an in-depth examination of contemporary research topics, data and methods, recent research findings, and challenges in specific subfields of international urban studies. Emphasis will be placed upon the discussion and improvement of students' dissertation chapters.",0
