code,title,units,prereqs,offered,corrupt
NAT RES 24,Freshman Seminars,1 Unit,,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
NAT RES 84,Sophomore Seminar,1 or 2 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores.",0
NAT RES C101,Edible Education: The Rise and Future of the Food Movement,2 Units,,"Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
As a subject, food is multi-disciplinary, drawing on everything from economics and agronomy to sociology, anthropology, and the arts. Each week experts on organic agriculture, school lunch reform, food safety, animal welfare, hunger and food security, farm bill reform, farm-to-school efforts, urban agriculture, food sovereignty, local food economies, etc. will lecture on what their areas of expertise have to offer the food movement to help",0
