code,title,units,prereqs,offered,corrupt
SCMATHE 210,Practicum in Science and Math Education Research and Development,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Practical experience on an educational research or development project on campus or elsewhere for 8-12 hours per week. Class meetings augment research experience with discussions of readings and interaction with guest speakers.",0
SCMATHE 220C,Instructional Design in Science and Mathematics Education,3 Units, 220B or consent of the instructor,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Survey of literature on design of instruction in science and mathematics, including development of computer-based instruction. Includes consideration of evaluation methods and development of instruction modules for topics in science and mathematics.",0
SCMATHE 292,Research Seminar and Colloquium,1 Unit, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Discussion of current education research carried on by students, faculty, and guest speakers. A written analysis of several presentations required.",0
SCMATHE 294,Formulation of Educational Research,1 - 3 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Development of thesis proposal under supervision of faculty member.",0
SCMATHE 295,Research,1 - 12 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Independent research activities under supervision of a faculty member.",0
SCMATHE 299,Individual Reading and Study,1 - 5 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Individual reading and study under the supervision of a faculty member.",0
SCMATHE 602,Individual Study for Qualifying Examination,1 - 8 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Individual study, under the supervision of a faculty member, designed to prepare the student for Ph.D qualifying examination.",0
