code,title,units,prereqs,offered,corrupt
AHMA 210,Ancient History and Mediterranean Archaeology Interdisciplinary Seminar,2 or 4 Units, Graduate standing,"Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
Team-taught by faculty from two different departments. The purpose is not only to expose students to a discipline other than their own, but to engage them directly in the application of that discipline to their own research interests. The topic and instructors will vary from year to year.",0
AHMA 299,Special Study,1 - 4 Units, Graduate standing or consent of instructor,"Terms offered: Fall 2017, Summer 2017 First 6 Week Session, Fall 2016<br/>
Topics and instructors will vary from year to year. Special individual study for qualified graduate students. Individual study and research, including archaeological fieldwork or laboratory projects, in consultation with instructor on subject matter not covered in scheduled course offerings.",0
