code,title,units,prereqs,offered,corrupt
PUB AFF 202,Policy Analysis Toolkit Course,3 Units,,"Terms offered: Fall 2017<br/>
This course is designed to improve our abilities to think creatively and critically about public policy problems and solutions. The course provides the opportunity to synthesize the skills you have acquired through your summer core coursework and apply these skills to real world policy problems. We open the course with a discussion of what it is that policy analysts do and how their work fits into the broader policy process. We then move into an overview of the policy",0
PUB AFF W202,Policy Analysis Toolkit Course,3 Units,,"Terms offered: Fall 2017, Fall 2016<br/>
This course is designed to improve our abilities to think creatively and critically about public policy problems and solutions. The course provides the opportunity to synthesize the skills you have acquired through your summer core coursework and apply these skills to real world policy problems. We open the course with a discussion of what it is that policy analysts do and how their work fits into the broader policy process. We then move into an overview",0
PUB AFF 207,The Capstone,4 Units,,"Terms offered: Spring 2018<br/>
The MPA Capstone Course is designed to enable each MPA student to write their Capstone Analytic Project, which will address a specific policy or programmatic challenge facing a real-world client. The weekly course meetings are structured to help students further hone their creativity, their analytic capacities and their writing and presentation skills as they develop the project through its various stages. Participants work closely together to learn from and help",0
PUB AFF W207,The Capstone,4 Units,,"Terms offered: Spring 2018, Spring 2017<br/>
The MPA Capstone Course is designed to enable each MPA student to write their Capstone Analytic Project, which will address a specific policy or programmatic challenge facing a real-world client. The weekly course meetings are structured to help students further hone their creativity, their analytic capacities and their writing and presentation skills as they develop the project through its various stages. Participants work closely together to learn from",0
PUB AFF 290,Special Topics in Public Affairs,1 - 4 Units,,"Terms offered: Spring 2018<br/>
Course examines current problems and issues in the field of public affairs. Topics may vary from year to year and will be announced at the beginning of the semester.",0
PUB AFF W290,Special Topics in Public Affairs,1 - 4 Units,,"Terms offered: Spring 2018, Fall 2017<br/>
Course examines current problems and issues in the field of public affairs. Topics may vary from year to year and will be announced at the beginning of the semester.",0
