code,title,units,prereqs,offered,corrupt
COMPBIO 294,Comparative Biochemistry Seminar,1 Unit,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The objective of this course is to provide an overview of the research activities conducted by faculty members of the Graduate Group in Comparative Biochemistry. The lectures will cover a wide range of interdisciplinary research topics reflecting the breadth of the Group. An important goal of this course is to enhance intellectual and collaborative interactions between students and faculty of the Graduate Group by increasing awareness of the range",0
COMPBIO 299,Graduate Research,1 - 12 Units, Graduate standing in the Comparative Biochemistry Graduate Group,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Graduate student research.",0
