code,title,units,prereqs,offered,corrupt
FOLKLOR C262A,Theories of Traditionality and Modernity,4 Units, Graduate standing or consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This seminar explores the emergence of notions of tradition and modernity and their reproduction in Eurocentric epistemologies and political formations. It uses work by such authors as Anderson, Butler, Chakrabarty, Clifford, Derrida, Foucault, Latour, Mignolo, Pateman, and Poovey to critically reread foundational works published between the 17th century and the present--along with philosophical texts with which they are in dialogue--in terms of",0
FOLKLOR C262B,Theories of Traditionality and Modernity,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This seminar explores the emergence of notions of tradition and modernity and their reproduction in Eurocentric epistemologies and political formations. It uses work by such authors as Anderson, Butler, Chakrabarty, Clifford, Derrida, Foucault, Latour, Mignolo, Pateman, and Poovey to critically reread foundational works published between the 17th century and the present--along with philosophical texts with which they are in dialogue--in terms",0
FOLKLOR 298,Readings in Folklore,3 - 6 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>",0
FOLKLOR 299,Directed Research,3 - 6 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>",0
