code,title,units,prereqs,offered,corrupt
STS C100,"Introduction to Science, Technology, and Society",4 Units,,"Terms offered: Spring 2018, Spring 2016, Spring 2015<br/>
This course provides an overview of the field of Science and Technology Studies (STS) as a way to study how our knowledge and technology shape and are shaped by social, political, historical, economic, and other factors. We will learn key concepts of the field (e.g., how technologies are understood and used differently in different communities) and apply them to a wide range of topics, including geography, history, environmental and information",0
STS C200,Topics in Science and Technology Studies,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015, Fall 2014, Fall 2013<br/>
This course provides a strong foundation for graduate work in STS, a multidisciplinary field with a signature capacity to rethink the relationship among science, technology, and political and social life. From climate change to population genomics, access to medicines and the impact of new media, the problems of our time are simultaneously scientific and social, technological and political, ethical and economic.",0
STS C250,Science and Technology Studies Research Seminar,3 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017, Spring 2016, Spring 2015, Fall 2013<br/>
This course will cover methods and approaches for students considering professionalizing in the field of STS, including a chance for students to workshop written work.",0
