code,title,units,prereqs,offered,corrupt
BANGLA 1A,Introductory Bengali,5 Units," 1A is prerequisite to 1B, or consent of instructor","Offered through: South and Southeast Asian Studies<br/>
Terms offered: Fall 2017, Fall 2015, Fall 2013<br/>
Students will be expected to acquire knowledge of the basic grammar of Bengali, such that they learn to read simple graded texts and to speak at the ""low intermediate"" level by the end of the year.",0
BANGLA 1B,Introductory Bengali,5 Units," 1A is prerequisite to 1B, or consent of instructor","Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2018, Spring 2016, Spring 2014<br/>
Students will be expected to acquire knowledge of the basic grammar of Bengali, such that they learn to read simple graded texts and to speak at the ""low intermediate"" level by the end of the year.",0
BANGLA 101A,Intermediate Bengali,5 Units, 1B is prerequisite to 101A; 101A is prerequisite to 101B; or consent of instructor,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2018, Fall 2016, Fall 2014<br/>
Students are expected to be able to read, with the aid of a dictionary, modern Bengali literature, and speak at a ""high-intermediate"" level by the end of the year. There will be viewing of Bengali videos at a mutually agreed upon time and in class from time to time.",0
BANGLA 101B,Intermediate Bengali,5 Units, 101A or consent of instructor,"Offered through: South and Southeast Asian Studies<br/>
Terms offered: Spring 2017, Spring 2015, Spring 2013<br/>
Students are expected to be able to read, with the aid of a dictionary, modern Bengali literature, and speak at a ""high-intermediate"" level by the end of the year. There will be viewing of Bengali videos at a mutually agreed upon time and in class from time to time.",0
